,Country,Name,URL
8689,US,Texas Wesleyan University,http://www.txwesleyan.edu/
8690,US,Texas Woman's University,http://www.twu.edu/
8692,US,The Art Institute of Boston,http://www.aiboston.edu/
8693,US,The Art Institutes International Portland,http://www.aipd.aii.edu/
8694,US,The Art Institutes International San Francisco,http://www.aisf.aii.edu/
8695,US,The Boston Conservatory,http://www.bostonconservatory.edu/
8696,US,The Catholic University of America,http://www.cua.edu/
8701,US,The College of St. Scholastica,http://www.css.edu/
8702,US,The College of Westchester,http://www.cw.edu/
8704,US,The Cooper Union for the Advancement of Science and Art,http://www.cooper.edu/
8710,US,The Johns Hopkins University,http://www.jhu.edu/
8713,US,"The Maryland Institute, College of Art",http://www.mica.edu/
8714,US,The Master's College,http://www.masters.edu/
8718,US,The Rockefeller University,http://www.rockefeller.edu/
8719,US,The School of the Art Institute of Chicago,http://www.artic.edu/
8720,US,The Scripps Research Institute,http://www.scripps.edu/
8722,US,The Tulane University of New Orleans,http://www.tulane.edu/
8724,US,Thiel College,http://www.thiel.edu/
8725,US,Thomas A. Edison State College,http://www.tesc.edu/
8726,US,Thomas Aquinas College,http://www.thomasaquinas.edu/
8728,US,Thomas Jefferson University,http://www.tju.edu/
8732,US,Thunderbird School of Global Management,http://www.thunderbird.edu/
8734,US,Toccoa Falls College,http://www.toccoafalls.edu/
8736,US,Tougaloo College,http://www.tougaloo.edu/
8739,US,Towson University,http://www.towson.edu/
8740,US,Transylvania University,http://www.transy.edu/
8741,US,Trevecca Nazarene University,http://www.trevecca.edu/
8744,US,Trinity Bible College,http://www.tbc2day.edu/
8749,US,Trinity International University,http://www.trin.edu/
8755,US,Troy University,http://www.troy.edu/
8761,US,Truman State University,http://www.truman.edu/
8762,US,Tufts University,http://www.tufts.edu/
8764,US,Tusculum College,http://www.tusculum.edu/
8769,US,Union College Nebraska,http://www.ucollege.edu/
8771,US,Union University,http://www.uu.edu/
8773,US,United States Coast Guard Academy,http://www.cga.edu/
8774,US,United States International University,http://www.usiu.edu/
8775,US,United States Merchant Marine Academy,http://www.usmma.edu/
8780,US,University of Advancing Technology (UAT),http://www.uat.edu/
8781,US,University of Akron,http://www.uakron.edu/
8782,US,University of Alabama - Birmingham,http://www.uab.edu/
8783,US,University of Alabama - Huntsville,http://www.uah.edu/
8784,US,University of Alabama - Tuscaloosa,http://www.ua.edu/
8785,US,University of Alanta,http://www.uofa.edu/
8786,US,University of Alaska - Anchorage,http://www.uaa.alaska.edu/
8787,US,University of Alaska - Fairbanks,http://www.uaf.edu/
8790,US,University of Arizona,http://www.arizona.edu/
8791,US,University of Arkansas at Fayetteville,http://www.uark.edu/
8792,US,University of Arkansas at Little Rock,http://www.ualr.edu/
8793,US,University of Arkansas at Monticello,http://www.uamont.edu/
8794,US,University of Arkansas at Pine Bluff,http://www.uapb.edu/
8797,US,University of Baltimore,http://www.ubalt.edu/
8798,US,University of Bridgeport,http://www.bridgeport.edu/
8801,US,"University of California, Hastings College of Law",http://www.uchastings.edu/
8802,US,"University of California, Irvine",http://www.uci.edu/
8803,US,"University of California, Los Angeles",http://www.ucla.edu/
8804,US,"University of California, Merced",http://www.ucmerced.edu/
8806,US,"University of California, Riverside",http://www.ucr.edu/
8807,US,"University of California, San Diego",http://www.ucsd.edu/
8808,US,"University of California, San Francisco",http://www.ucsf.edu/
8809,US,"University of California, Santa Barbara",http://www.ucsb.edu/
8810,US,"University of California, Santa Cruz",http://www.ucsc.edu/
